source,target,value
BIOC 303,BIOC 402,0.33
BIOT 380,BIOC 402,0.33
BIOC 402,BIOC 403,1
BIOC 303,BIOC 410,0.5
BIOL 335,BIOC 410,0.5
BIOT 380,BIOC 410,0.5
BIOC 404,BIOC 420,0.5
BIOC 420,BIOC 404,0.5
FSCT 480,BIOC 420,0.5
BIOC 420,FSCT 480,0.5
BIOC 301,BIOC 421,1
BIOC 410,BIOC 421,1
BIOC 303,BIOC 440,0.5
BIOT 380,BIOC 440,0.5
BIOC 402,BIOC 440,1
BIOC 410,BIOC 440,1
BIOC 303,BIOC 450,0.5
BIOT 380,BIOC 450,0.5
BIOC 402,BIOC 450,1
BIOC 410,BIOC 450,1
BIOC 303,BIOC 460,0.5
BIOT 380,BIOC 460,0.5
BIOC 402,BIOC 460,1
BIOC 410,BIOC 460,1
BIOC 302,BIOC 470,0.5
BIOC 303,BIOC 470,0.5
BIOC 300,BIOC 490,0.33
BIOC 490,BIOC 300,0.33
BIOC 302,BIOC 490,0.33
BIOC 490,BIOC 302,0.33
BIOC 303,BIOC 490,0.33
BIOC 490,BIOC 303,0.33
BIOC 399,BIOC 498,1
BIOC 498,BIOC 499,1
CHEM 12,BIOL 112,0.25
CHEM 100,BIOL 112,0.25
CHEM 110,BIOL 112,0.25
CHEM 111,BIOL 112,0.25
BIOL 11,BIOL 112,0.33
BIOL 12,BIOL 112,0.33
BIOL 111,BIOL 112,0.33
BIOL 11,BIOL 121,0.33
BIOL 12,BIOL 121,0.33
BIOL 111,BIOL 121,0.33
BIOL 11,BIOL 140,0.33
BIOL 12,BIOL 140,0.33
BIOL 111,BIOL 140,0.33
CHEM 12,BIOL 153,0.25
CHEM 100,BIOL 153,0.25
CHEM 110,BIOL 153,0.25
CHEM 111,BIOL 153,0.25
BIOL 11,BIOL 153,0.33
BIOL 12,BIOL 153,0.33
BIOL 111,BIOL 153,0.33
CHEM 12,BIOL 155,0.25
CHEM 100,BIOL 155,0.25
CHEM 110,BIOL 155,0.25
CHEM 111,BIOL 155,0.25
BIOL 11,BIOL 155,0.33
BIOL 12,BIOL 155,0.33
BIOL 111,BIOL 155,0.33
BIOL 11,BIOL 180,0.33
BIOL 12,BIOL 180,0.33
BIOL 111,BIOL 180,0.33
BIOL 112,BIOL 200,0.25
CHEM 123,BIOL 200,0.13
CHEM 130,BIOL 200,0.13
SCIE 001,BIOL 200,0.25
BIOL 121,BIOL 200,0.13
CHEM 203,BIOL 200,0.13
CHEM 223,BIOL 200,0.13
BIOL 200,BIOL 201,0.33
CHEM 233,BIOL 201,0.17
CHEM 260,BIOL 201,0.17
CHEM 213,BIOL 201,0.33
CHEM 313,BIOL 201,0.17
CHEM 330,BIOL 201,0.17
BIOL 121,BIOL 203,0.25
BIOL 180,BIOL 203,0.13
BIOL 140,BIOL 203,0.13
SCIE 001,BIOL 203,0.25
BIOL 121,BIOL 204,0.25
BIOL 180,BIOL 204,0.13
BIOL 140,BIOL 204,0.13
SCIE 001,BIOL 204,0.25
BIOL 121,BIOL 205,0.25
BIOL 180,BIOL 205,0.13
BIOL 140,BIOL 205,0.13
SCIE 001,BIOL 205,0.25
BIOL 121,BIOL 209,0.25
SCIE 001,BIOL 209,0.25
BIOL 121,BIOL 210,0.33
SCIE 001,BIOL 210,0.33
BIOL 121,BIOL 230,0.5
SCIE 001,BIOL 230,0.5
BIOL 112,BIOL 233,0.33
BIOL 121,BIOL 233,0.33
SCIE 001,BIOL 233,0.33
CHEM 203,BIOL 233,0.17
CHEM 223,BIOL 233,0.17
BIOL 112,BIOL 234,0.33
BIOL 121,BIOL 234,0.33
SCIE 001,BIOL 234,0.33
CHEM 203,BIOL 234,0.17
CHEM 223,BIOL 234,0.17
BIOL 112,BIOL 260,0.33
BIOL 121,BIOL 260,0.33
SCIE 001,BIOL 260,0.33
BIOL 121,BIOL 300,0.5
MATH 101,BIOL 300,0.13
MATH 103,BIOL 300,0.13
MATH 105,BIOL 300,0.13
MATH 121,BIOL 300,0.13
SCIE 001,BIOL 300,0.5
BIOL 300,BIOL 301,0.5
BIOL 301,BIOL 300,0.5
STAT 200,BIOL 301,0.5
BIOL 301,STAT 200,0.5
BIOL 230,BIOL 306,1
BIOL 121,BIOL 310,1
APBI 260,BIOL 314,0.2
BIOL 230,BIOL 314,0.2
FRST 201,BIOL 314,0.2
GEOB 207,BIOL 314,0.2
GEOS 207,BIOL 314,0.2
BIOL 121,BIOL 320,1
BIOL 121,BIOL 321,1
BIOL 121,BIOL 322,1
BIOL 121,BIOL 323,1
BIOL 121,BIOL 324,1
BIOL 121,BIOL 325,1
BIOL 205,BIOL 326,1
STAT 200,BIOL 326,0.5
BIOL 326,STAT 200,0.5
BIOL 300,BIOL 326,0.5
BIOL 326,BIOL 300,0.5
BIOL 121,BIOL 327,0.5
SCIE 001,BIOL 327,0.5
BIOL 121,BIOL 328,1
BIOL 201,BIOL 330,0.5
BIOL 200,BIOL 330,0.5
BIOL 260,BIOL 330,0.5
BIOL 233,BIOL 330,0.25
BIOL 234,BIOL 330,0.25
BIOL 201,BIOL 331,0.5
BIOL 200,BIOL 331,0.5
BIOL 260,BIOL 331,0.5
BIOL 233,BIOL 331,0.25
BIOL 234,BIOL 331,0.25
BIOL 200,BIOL 332,1
BIOL 233,BIOL 335,0.25
BIOL 234,BIOL 335,0.25
MICB 322,BIOL 335,0.25
FRST 302,BIOL 335,0.25
BIOL 233,BIOL 336,0.5
BIOL 234,BIOL 336,0.5
BIOL 200,BIOL 337,1
BIOL 233,BIOL 337,0.5
BIOL 337,BIOL 233,0.5
BIOL 234,BIOL 337,0.5
BIOL 337,BIOL 234,0.5
BIOL 234,BIOL 338,0.33
BIOL 233,BIOL 338,0.33
FRST 302,BIOL 338,0.33
BIOL 200,BIOL 340,1
BIOL 180,BIOL 340,0.17
BIOL 140,BIOL 340,0.17
SCIE 001,BIOL 340,0.33
BIOL 200,BIOL 341,1
BIOL 121,BIOL 342,0.33
BIOL 180,BIOL 342,0.17
BIOL 140,BIOL 342,0.17
SCIE 001,BIOL 342,0.33
BIOL 121,BIOL 351,0.5
CHEM 123,BIOL 351,0.25
CHEM 130,BIOL 351,0.25
SCIE 001,BIOL 351,0.5
BIOL 200,BIOL 352,0.5
BIOL 233,BIOL 352,0.25
BIOL 234,BIOL 352,0.25
FRST 302,BIOL 352,0.5
BIOL 200,BIOL 361,1
BIOL 200,BIOL 362,1
APBI 312,BIOL 362,0.14
APBI 351,BIOL 362,0.14
BIOL 260,BIOL 362,0.14
BIOL 351,BIOL 362,0.14
BIOL 352,BIOL 362,0.14
BIOL 361,BIOL 362,0.14
FRST 311,BIOL 362,0.14
BIOL 204,BIOL 363,1
BIOL 361,BIOL 363,0.33
BIOL 363,BIOL 361,0.33
BIOL 370,BIOL 363,0.33
BIOL 363,BIOL 370,0.33
BIOL 371,BIOL 363,0.33
BIOL 363,BIOL 371,0.33
BIOL 204,BIOL 364,1
BIOL 260,BIOL 364,0.5
BIOL 361,BIOL 364,0.5
BIOL 200,BIOL 370,1
BIOL 260,BIOL 370,1
BIOL 200,BIOL 371,1
BIOL 260,BIOL 371,0.17
NSCI 200,BIOL 371,0.17
PSYC 270,BIOL 371,0.17
PSYC 271,BIOL 371,0.17
PSYC 304,BIOL 371,0.17
CAPS 301,BIOL 371,0.17
BIOL 371,BIOL 372,1
BIOL 398,BIOL 399,1
BIOL 301,BIOL 401,1
MATH 101,BIOL 401,0.25
MATH 103,BIOL 401,0.25
MATH 105,BIOL 401,0.25
MATH 121,BIOL 401,0.25
BIOL 230,BIOL 402,1
BIOL 300,BIOL 402,0.5
STAT 200,BIOL 402,0.5
BIOL 121,BIOL 403,1
BIOL 300,BIOL 403,0.33
FRST 231,BIOL 403,0.33
STAT 200,BIOL 403,0.33
BIOL 230,BIOL 404,1
BIOL 300,BIOL 404,0.5
STAT 200,BIOL 404,0.5
BIOL 230,BIOL 406,1
BIOL 300,BIOL 408,1
BIOL 230,BIOL 409,1
BIOL 300,BIOL 409,0.5
STAT 200,BIOL 409,0.5
BIOL 310,BIOL 410,1
BIOL 205,BIOL 411,0.33
BIOL 327,BIOL 411,0.33
APBI 327,BIOL 411,0.33
BIOL 121,BIOL 412,1
BIOL 121,BIOL 413,1
BIOL 336,BIOL 415,1
BIOL 230,BIOL 416,0.5
FRST 201,BIOL 416,0.5
BIOL 200,BIOL 417,1
BIOL 233,BIOL 417,0.5
BIOL 234,BIOL 417,0.5
BIOL 336,BIOL 418,1
BIOL 230,BIOL 418,1
BIOL 200,BIOL 421,1
BIOC 202,BIOL 421,0.17
BIOC 203,BIOL 421,0.17
BIOL 201,BIOL 421,0.17
BIOL 233,BIOL 421,0.17
BIOL 234,BIOL 421,0.17
BIOL 260,BIOL 421,0.17
BIOL 351,BIOL 423,1
BIOL 121,BIOL 424,1
BIOL 230,BIOL 424,0.25
FRST 201,BIOL 424,0.25
GEOS 207,BIOL 424,0.25
GEOB 207,BIOL 424,0.25
BIOL 325,BIOL 425,1
BIOL 204,BIOL 426,1
BIOL 121,BIOL 427,1
BIOL 205,BIOL 428,1
BIOL 335,BIOL 430,0.33
BIOL 336,BIOL 430,0.33
BIOL 338,BIOL 430,0.33
BIOL 200,BIOL 431,1
BIOL 200,BIOL 432,1
BIOL 233,BIOL 432,0.5
BIOL 234,BIOL 432,0.5
BIOL 335,BIOL 433,1
BIOL 336,BIOL 434,1
BIOL 200,BIOL 434,0.5
BIOL 233,BIOL 434,0.25
BIOL 234,BIOL 434,0.25
FRST 302,BIOL 434,0.5
BIOL 335,BIOL 436,0.5
BIOL 338,BIOL 436,0.5
BIOL 331,BIOL 437,1
BIOL 335,BIOL 437,1
BIOL 201,BIOL 437,0.33
BIOC 202,BIOL 437,0.33
BIOC 203,BIOL 437,0.33
PHYS 101,BIOL 438,0.14
PHYS 106,BIOL 438,0.14
PHYS 107,BIOL 438,0.14
PHYS 117,BIOL 438,0.14
PHYS 131,BIOL 438,0.14
PHYS 157,BIOL 438,0.14
SCIE 001,BIOL 438,0.14
BIOL 335,BIOL 440,0.5
BIOL 338,BIOL 440,0.5
BIOL 340,BIOL 441,0.5
BIOL 341,BIOL 441,0.5
BIOL 361,BIOL 441,0.5
BIOL 362,BIOL 441,0.5
BIOL 335,BIOL 444,1
BIOL 449,BIOL 447,1
BIOL 447,BIOL 449,1
BIOL 361,BIOL 450,0.2
BIOL 362,BIOL 450,0.2
BIOL 364,BIOL 450,0.2
BIOL 370,BIOL 450,0.2
BIOL 371,BIOL 450,0.2
BIOL 201,BIOL 450,0.33
BIOC 202,BIOL 450,0.33
BIOC 203,BIOL 450,0.33
BIOL 371,BIOL 451,0.17
BIOL 372,BIOL 451,0.17
CAPS 301,BIOL 451,0.17
PSYC 304,BIOL 451,0.17
PSYC 367,BIOL 451,0.17
PSYC 370,BIOL 451,0.17
BIOL 204,BIOL 453,0.25
BIOL 205,BIOL 453,0.25
BIOL 327,BIOL 453,0.25
APBI 327,BIOL 453,0.25
BIOL 361,BIOL 453,0.2
BIOL 364,BIOL 453,0.2
BIOL 370,BIOL 453,0.2
BIOL 371,BIOL 453,0.2
APBI 311,BIOL 453,0.2
BIOL 362,BIOL 454,0.5
BIOL 364,BIOL 454,0.5
BIOL 361,BIOL 455,0.2
BIOL 362,BIOL 455,0.2
BIOL 364,BIOL 455,0.2
CAPS 301,BIOL 455,0.2
PSYC 360,BIOL 455,0.2
BIOL 364,BIOL 456,1
BIOL 364,BIOL 457,1
BIOL 372,BIOL 459,0.2
CAPS 301,BIOL 459,0.2
PSYC 304,BIOL 459,0.2
PSYC 367,BIOL 459,0.2
PSYC 370,BIOL 459,0.2
BIOL 372,BIOL 460,0.2
CAPS 301,BIOL 460,0.2
PSYC 304,BIOL 460,0.2
PSYC 367,BIOL 460,0.2
PSYC 370,BIOL 460,0.2
BIOL 200,BIOL 462,1
BIOL 201,BIOL 462,1
BIOL 335,BIOL 463,1
BIOL 201,BIOL 463,0.33
BIOC 202,BIOL 463,0.33
BIOC 203,BIOL 463,0.33
BIOL 463,BIOL 464,1
BIOL 204,BIOL 465,1
BIOL 465,BIOL 466,1
BIOL 399,BIOL 499,0.5
BIOL 498,BIOL 499,0.5
APSC 100,BMEG 101,1
BMEG 102,BMEG 101,1
BMEG 101,BMEG 102,1
PHYS 12,BMEG 102,0.5
PHYS 100,BMEG 102,0.5
APSC 101,BMEG 200,1
PHYS 159,BMEG 200,1
APSC 176,BMEG 201,0.14
ENGL 110,BMEG 201,0.14
ENGL 111,BMEG 201,0.14
ENGL 112,BMEG 201,0.14
